task_id,source_bench,expected_category,expected_source
t066,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t067,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t068,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t069,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t070,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t071,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t072,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t073,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t074,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t075,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t076,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t077,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t078,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t079,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t080,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t081,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t082,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t083,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t084,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t085,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t086,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t087,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t088,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t089,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t090,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t091,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t092,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t093,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t094,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t095,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t096,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t097,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t098,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t099,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t100,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t101,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t102,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
t103,52f4e03_fix3_sonnet46_20260411T111525Z_prod_runs1.json,UNKNOWN,unknown
